Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,HOUR,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
1/7/2019,01,CENTRAL,77,11,55,142,7,16,5
1/7/2019,02,CENTRAL,69,9,50,93,13,15,4
1/7/2019,03,CENTRAL,70,7,48,101,12,11,5
1/7/2019,04,CENTRAL,70,10,39,66,21,13,4
1/7/2019,05,CENTRAL,67,10,40,72,20,12,4
1/7/2019,06,CENTRAL,85,9,56,138,7,15,5
1/7/2019,07,CENTRAL,92,10,63,203,7,14,6
1/7/2019,08,CENTRAL,84,9,59,138,8,12,5
1/7/2019,09,CENTRAL,72,6,63,192,12,8,6
1/7/2019,10,CENTRAL,74,8,60,168,17,9,6
1/7/2019,11,CENTRAL,65,9,54,131,24,12,5
1/7/2019,12,CENTRAL,58,8,47,116,32,11,5
1/7/2019,13,CENTRAL,61,11,45,103,38,14,5
1/7/2019,14,CENTRAL,57,7,47,101,39,11,5
1/7/2019,15,CENTRAL,53,8,24,41,51,11,4
1/7/2019,16,CENTRAL,51,6,27,40,46,9,4
1/7/2019,17,CENTRAL,51,5,13,17,50,8,4
1/7/2019,18,CENTRAL,51,4,14,18,52,7,4
1/7/2019,19,CENTRAL,52,6,14,17,57,10,4
1/7/2019,20,CENTRAL,55,6,13,14,59,10,4
1/7/2019,21,CENTRAL,55,5,18,20,44,10,4
1/7/2019,22,CENTRAL,54,6,18,21,41,11,4
1/7/2019,23,CENTRAL,47,3,13,15,45,8,4
1/7/2019,24,CENTRAL,46,2,12,13,49,7,3
2/7/2019,01,CENTRAL,46,4,15,18,41,9,4
2/7/2019,02,CENTRAL,47,4,9,12,44,9,4
2/7/2019,03,CENTRAL,44,5,11,14,40,9,4
2/7/2019,04,CENTRAL,47,3,12,16,39,6,3
2/7/2019,05,CENTRAL,50,3,15,21,35,5,4
2/7/2019,06,CENTRAL,50,7,15,20,39,9,4
2/7/2019,07,CENTRAL,56,6,36,68,24,10,4
2/7/2019,08,CENTRAL,60,7,60,147,12,12,5
2/7/2019,09,CENTRAL,63,7,83,264,12,12,7
2/7/2019,10,CENTRAL,66,8,63,181,16,13,6
2/7/2019,11,CENTRAL,72,8,66,180,15,12,5
2/7/2019,12,CENTRAL,69,5,69,221,16,9,6
2/7/2019,13,CENTRAL,67,7,55,122,30,12,5
2/7/2019,14,CENTRAL,69,5,60,149,23,12,6
2/7/2019,15,CENTRAL,70,8,58,143,21,13,5
2/7/2019,16,CENTRAL,65,6,58,137,21,10,5
2/7/2019,17,CENTRAL,62,4,52,119,24,8,5
2/7/2019,18,CENTRAL,66,3,56,154,16,6,5
2/7/2019,19,CENTRAL,70,5,67,199,14,8,6
2/7/2019,20,CENTRAL,73,9,75,174,16,13,5
2/7/2019,21,CENTRAL,80,9,65,157,18,12,5
2/7/2019,22,CENTRAL,74,9,59,131,20,13,5
2/7/2019,23,CENTRAL,69,3,61,161,14,8,5
2/7/2019,24,CENTRAL,60,2,54,99,21,5,4
3/7/2019,01,CENTRAL,62,0,44,75,27,2,4
3/7/2019,02,CENTRAL,61,2,42,73,24,7,4
3/7/2019,03,CENTRAL,64,3,49,73,16,7,4
3/7/2019,04,CENTRAL,64,1,39,57,23,3,4
3/7/2019,05,CENTRAL,64,1,29,50,34,3,4
3/7/2019,06,CENTRAL,60,1,31,46,34,1,3
3/7/2019,07,CENTRAL,69,5,60,124,16,7,4
3/7/2019,08,CENTRAL,79,8,81,239,5,12,6
3/7/2019,09,CENTRAL,87,11,99,345,6,16,8
3/7/2019,10,CENTRAL,84,14,92,290,8,22,7
3/7/2019,11,CENTRAL,83,13,78,273,8,16,7
3/7/2019,12,CENTRAL,88,11,82,275,7,15,5
3/7/2019,13,CENTRAL,82,14,72,205,8,22,4
3/7/2019,14,CENTRAL,85,15,70,189,11,21,4
3/7/2019,15,CENTRAL,84,15,74,230,11,19,4
3/7/2019,16,CENTRAL,92,5,81,278,7,9,5
3/7/2019,17,CENTRAL,78,5,77,228,7,9,4
3/7/2019,18,CENTRAL,89,12,90,303,5,20,5
3/7/2019,19,CENTRAL,91,13,92,352,5,22,6
3/7/2019,20,CENTRAL,99,18,87,276,6,28,5
3/7/2019,21,CENTRAL,102,18,74,247,6,29,5
3/7/2019,22,CENTRAL,106,15,72,241,6,27,5
3/7/2019,23,CENTRAL,87,15,73,247,7,30,5
3/7/2019,24,CENTRAL,82,19,61,189,8,39,4
4/7/2019,01,CENTRAL,75,20,55,171,8,39,4
4/7/2019,02,CENTRAL,70,N.A.,44,103,15,N.A.,2
4/7/2019,03,CENTRAL,64,15,44,91,14,33,2
4/7/2019,04,CENTRAL,68,16,49,105,12,28,3
4/7/2019,05,CENTRAL,69,15,37,74,19,27,2
4/7/2019,06,CENTRAL,63,10,43,98,15,23,2
4/7/2019,07,CENTRAL,76,13,63,217,8,28,4
4/7/2019,08,CENTRAL,90,17,76,292,7,33,5
4/7/2019,09,CENTRAL,96,18,89,388,6,35,7
4/7/2019,10,CENTRAL,87,24,81,304,9,43,6
4/7/2019,11,CENTRAL,85,16,74,261,13,32,5
4/7/2019,12,CENTRAL,77,14,58,179,18,27,4
4/7/2019,13,CENTRAL,70,13,58,170,22,28,4
4/7/2019,14,CENTRAL,81,15,70,218,13,29,4
4/7/2019,15,CENTRAL,81,18,73,244,11,34,5
4/7/2019,16,CENTRAL,73,18,76,313,10,34,6
4/7/2019,17,CENTRAL,78,12,62,210,10,28,4
4/7/2019,18,CENTRAL,91,9,78,273,9,18,5
4/7/2019,19,CENTRAL,83,11,86,317,9,22,5
4/7/2019,20,CENTRAL,76,10,56,168,14,23,4
4/7/2019,21,CENTRAL,75,9,46,129,17,22,3
4/7/2019,22,CENTRAL,75,11,44,107,15,27,3
4/7/2019,23,CENTRAL,77,12,60,186,13,28,4
4/7/2019,24,CENTRAL,74,14,56,152,13,25,3
5/7/2019,01,CENTRAL,66,16,42,88,22,27,3
5/7/2019,02,CENTRAL,59,8,25,52,31,21,2
5/7/2019,03,CENTRAL,55,10,23,43,35,25,2
5/7/2019,04,CENTRAL,53,7,18,34,41,20,2
5/7/2019,05,CENTRAL,54,7,23,37,38,12,2
5/7/2019,06,CENTRAL,61,6,48,82,17,12,2
5/7/2019,07,CENTRAL,68,9,56,155,15,17,3
