YEAR,MONTH,DAY,DATE,HOUR,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2,,,
2017,7,1,1/7/2017,1,CENTRAL,24,1,35,76,8,6,8,,,
2017,7,1,1/7/2017,2,CENTRAL,19,N.A.,20,34,15,N.A.,8,,,
2017,7,1,1/7/2017,3,CENTRAL,42,N.A.,31,67,7,N.A.,9,,,
2017,7,1,1/7/2017,4,CENTRAL,26,0,29,59,8,0,7,,,
2017,7,1,1/7/2017,5,CENTRAL,33,0,32,79,9,3,8,,,
2017,7,1,1/7/2017,6,CENTRAL,26,0,35,105,2,5,12,,,
2017,7,1,1/7/2017,7,CENTRAL,36,N.A.,47,219,0,N.A.,17,,,
2017,7,1,1/7/2017,8,CENTRAL,30,5,47,211,1,9,15,,,
2017,7,1,1/7/2017,9,CENTRAL,32,7,48,179,3,10,11,,,
2017,7,1,1/7/2017,10,CENTRAL,21,2,36,93,12,4,11,,,
2017,7,1,1/7/2017,11,CENTRAL,18,1,29,64,18,3,8,,,
2017,7,1,1/7/2017,12,CENTRAL,23,0,37,113,14,2,7,,,
2017,7,1,1/7/2017,13,CENTRAL,20,0,27,77,19,1,7,,,
2017,7,1,1/7/2017,14,CENTRAL,19,N.A.,31,64,21,N.A.,7,,,
2017,7,1,1/7/2017,15,CENTRAL,24,0,25,55,20,2,7,,,
2017,7,1,1/7/2017,16,CENTRAL,18,0,15,27,26,2,7,,,
2017,7,1,1/7/2017,17,CENTRAL,23,0,38,100,13,2,7,,,
2017,7,1,1/7/2017,18,CENTRAL,29,0,46,108,10,4,8,,,
2017,7,1,1/7/2017,19,CENTRAL,39,N.A.,46,129,5,N.A.,8,,,
2017,7,1,1/7/2017,20,CENTRAL,36,N.A.,42,119,7,N.A.,8,,,
2017,7,1,1/7/2017,21,CENTRAL,46,N.A.,49,159,5,N.A.,7,,,
2017,7,1,1/7/2017,22,CENTRAL,43,3,45,127,3,9,7,,,
2017,7,1,1/7/2017,23,CENTRAL,35,3,47,113,4,12,8,,,
2017,7,1,1/7/2017,24,CENTRAL,29,1,49,125,7,9,7,,,
2017,7,2,2/7/2017,1,CENTRAL,36,0,46,118,6,11,9,,,
2017,7,2,2/7/2017,2,CENTRAL,44,0,36,84,8,7,5,,,
2017,7,2,2/7/2017,3,CENTRAL,50,N.A.,38,92,3,N.A.,6,,,
2017,7,2,2/7/2017,4,CENTRAL,31,N.A.,29,68,13,N.A.,6,,,
2017,7,2,2/7/2017,5,CENTRAL,27,0,25,51,17,6,6,,,
2017,7,2,2/7/2017,6,CENTRAL,32,N.A.,36,89,9,N.A.,7,,,
2017,7,2,2/7/2017,7,CENTRAL,26,N.A.,42,108,10,N.A.,7,,,
2017,7,2,2/7/2017,8,CENTRAL,31,N.A.,41,112,10,N.A.,8,,,
2017,7,2,2/7/2017,9,CENTRAL,36,N.A.,50,141,8,N.A.,7,,,
2017,7,2,2/7/2017,10,CENTRAL,50,6,70,219,4,11,8,,,
2017,7,2,2/7/2017,11,CENTRAL,54,1,82,250,5,10,9,,,
